naics_sector,total,actual_defaults,predicted_high_risk,mean_prob,actual_default_rate,approval_rate,pct_of_total,di_ratio,di_flag,reference_group,reference_rate
11,1598,74,444,0.2459087922930765,0.0463,0.7222,0.0167,0.8129,False,52,0.8884
21,290,18,101,0.29347916337185126,0.0621,0.6517,0.003,0.7336,True,52,0.8884
22,98,9,20,0.215963544146348,0.0918,0.7959,0.001,0.8959,False,52,0.8884
23,10480,836,2068,0.20333106474130067,0.0798,0.8027,0.1097,0.9035,False,52,0.8884
31,1919,115,420,0.21818845279618024,0.0599,0.7811,0.0201,0.8792,False,52,0.8884
32,1790,129,373,0.2081037712931799,0.0721,0.7916,0.0187,0.891,False,52,0.8884
33,3875,204,768,0.19454863967156302,0.0526,0.8018,0.0406,0.9025,False,52,0.8884
42,5132,426,1095,0.21437311095632855,0.083,0.7866,0.0537,0.8854,False,52,0.8884
44,9310,687,1737,0.18888188355786445,0.0738,0.8134,0.0975,0.9156,False,52,0.8884
45,3665,372,815,0.22512482556053046,0.1015,0.7776,0.0384,0.8753,False,52,0.8884
48,5246,463,1085,0.2160371700255963,0.0883,0.7932,0.0549,0.8928,False,52,0.8884
49,364,25,64,0.18583066744646645,0.0687,0.8242,0.0038,0.9277,False,52,0.8884
51,1124,87,243,0.21682180745716495,0.0774,0.7838,0.0118,0.8823,False,52,0.8884
52,1738,87,194,0.12397441342491285,0.0501,0.8884,0.0182,1.0,False,52,0.8884
53,2118,115,343,0.16698739984127386,0.0543,0.8381,0.0222,0.9434,False,52,0.8884
54,9464,606,1707,0.18660432557928458,0.064,0.8196,0.0991,0.9226,False,52,0.8884
55,74,4,9,0.13958299663487309,0.0541,0.8784,0.0008,0.9887,False,52,0.8884
56,4575,362,881,0.20121746318446027,0.0791,0.8074,0.0479,0.9088,False,52,0.8884
61,1323,116,292,0.22208051258087072,0.0877,0.7793,0.0138,0.8772,False,52,0.8884
62,8629,405,1255,0.1422885738287941,0.0469,0.8546,0.0903,0.962,False,52,0.8884
71,2678,241,620,0.2375050364616994,0.09,0.7685,0.028,0.865,False,52,0.8884
72,12058,985,2607,0.21448426393402148,0.0817,0.7838,0.1262,0.8823,False,52,0.8884
81,7968,613,1528,0.19733448111041788,0.0769,0.8082,0.0834,0.9097,False,52,0.8884
92,20,1,5,0.2563236405136661,0.05,0.75,0.0002,0.8442,False,52,0.8884
